profilePhotoData,position,phone,notes,name,isActive,id,email,canInspect,employeeID,firstName,lastname,nickname,hiredate,birthdate,emergancyContact,emergancyPhone,hometown,currentStreet1,currentStreet2,currentCity,currentState,currentZip,history,emoji,symbol
joegarage.png,Dripline Tuner,(555) 204-8545,Painted the barn plaid as a 'vibration alignment ritual'.,Joe Garage,True,6573,test@test.com,True,41ee0867-baa9-4006-babd-951f50d90f6a,Joe,Garage,joe,1988-09-07,1944-04-12,Husband,(555) 540-2395,Peoria,8005 Utility Muffin St,Room 13,Peoria,IL,78797,Joe started out with strange ambitions and turned out to be the farm's unofficial dripline tuner.,🦄,car
marcatholic.png,Plasticulture Czar,(555) 223-7982,Tried to hypnotize the zucchini into growing faster using a lava lamp.,Mary Catholic,True,6630,test@test.com,False,c07b8e92-f3eb-4352-a843-5d3329c75670,Mary,Catholic,mary,1989-03-20,1965-03-15,Bandmate,(555) 580-9275,Detroit,4624 Yellow Snow Rd,Unit 7,Detroit,NY,68118,Mary started out with strange ambitions and turned out to be the farm's unofficial plasticulture czar.,🐀,pencil
censcrutinizer.png,Bee Liaison,(555) 811-4994,Painted googly eyes on all the drip line fittings. Claims it improves morale.,Central Scrutinizer,True,3395,test@test.com,False,a5426d65-85dc-4820-86fd-337d43db39ff,Central,Scrutinizer,central,1989-12-24,1951-03-17,Old Roommate,(555) 301-2886,Needles,3176 Utility Muffin St,Unit 7,Needles,OH,21700,Central started out with strange ambitions and turned out to be the farm's unofficial bee liaison.,🎭,globe
syborg.png,Plasticulture Czar,(555) 908-7096,Built a throne out of hay bales and declared it 'The Parliament of Lettuce'.,Sy Borg,True,9358,test@test.com,False,ace67a17-55fc-44bc-a65a-550e5c07215e,Sy,Borg,sy,1988-08-13,1964-03-02,Uncle Ernie,(555) 523-5973,Detroit,9852 Utility Muffin St,Back House,Detroit,TX,76571,Sy started out with strange ambitions and turned out to be the farm's unofficial plasticulture czar.,🤠,camera
lucmindup.png,Seed Librarian,(555) 351-2583,Built a throne out of hay bales and declared it 'The Parliament of Lettuce'.,Lucille Mindup,True,5140,test@test.com,True,0cac3403-4881-42ae-9343-5ddbe6495a34,Lucille,Mindup,lucille,1979-10-05,1966-12-29,Dad,(555) 720-8314,Cleveland,9002 Waffle Iron Ave,Apt 2B,Cleveland,CA,81675,Lucille started out with strange ambitions and turned out to be the farm's unofficial seed librarian.,👹,car
bobbrown.png,Chicken Wrangler,(555) 745-4682,Cried when the radishes bolted — said they were 'misunderstood'.,Bobby Brown,True,4141,test@test.com,False,d77c7f7e-5acb-40bd-8b09-a0b3b063d6ff,Bobby,Brown,bobby,1986-12-21,1946-02-08,Dad,(555) 867-8008,Detroit,1824 Utility Muffin St,,Detroit,PA,20440,Bobby started out with strange ambitions and turned out to be the farm's unofficial chicken wrangler.,🧠,leaf
grepeccary.png,Cover Crop Visionary,(555) 860-1950,Mic'd the compost pile for 'sonic microbial jazz'.,Greggery Peccary,True,1317,test@test.com,True,b11db9b4-f502-4015-9aa1-f13826db64eb,Greggery,Peccary,greggery,1989-03-26,1943-03-13,Zappa Ghost,(555) 806-6015,Pasadena,2531 Zappa Ln,Back House,Pasadena,OH,26207,Greggery started out with strange ambitions and turned out to be the farm's unofficial cover crop visionary.,🦄,bicycle
thifish.png,Vegetable Therapist,(555) 678-8868,Claims the kale told them secrets during the eclipse.,Thing Fish,True,6542,test@test.com,True,6a9e959f-d4a2-412c-a89c-3e06e95842d9,Thing,Fish,thing,1986-02-25,1963-01-01,Neighbor,(555) 309-9026,Detroit,3134 Utility Muffin St,Back House,Detroit,IL,66117,Thing started out with strange ambitions and turned out to be the farm's unofficial vegetable therapist.,🎸,star
eddkidding.png,Row Crop Philosopher,(555) 425-5508,Built a throne out of hay bales and declared it 'The Parliament of Lettuce'.,Eddie Kidding,True,8066,test@test.com,False,23cd0115-81c3-4698-b938-b77079f5b617,Eddie,Kidding,eddie,1982-02-22,1954-11-03,Cousin Nancy,(555) 425-9158,Detroit,6515 Zappa Ln,Unit 7,Detroit,MI,38214,Eddie started out with strange ambitions and turned out to be the farm's unofficial row crop philosopher.,🎭,pencil
bilmountain.png,Bee Liaison,(555) 314-7734,Insists the chickens perform a talent show before laying eggs.,Billy Mountain,True,1407,test@test.com,False,967b0da6-8c90-4c39-afec-6c443cb0d803,Billy,Mountain,billy,1981-08-09,1957-06-08,Wife,(555) 516-5669,Cleveland,5892 Utility Muffin St,,Cleveland,PA,39340,Billy started out with strange ambitions and turned out to be the farm's unofficial bee liaison.,👽,car
stuhoch.png,Vegetable Therapist,(555) 885-4813,Claims the kale told them secrets during the eclipse.,Studebaker Hoch,True,6774,test@test.com,True,44792271-feed-4340-b07b-5ecad4884b73,Studebaker,Hoch,studebaker,1986-06-19,1969-10-08,Husband,(555) 136-5840,Cleveland,1891 Yellow Snow Rd,,Cleveland,MO,29531,Studebaker started out with strange ambitions and turned out to be the farm's unofficial vegetable therapist.,🤘,tram
burlonesome.png,Cover Crop Visionary,(555) 445-4016,Mic'd the compost pile for 'sonic microbial jazz'.,Burt Lonesome,True,7557,test@test.com,False,ace49584-6bfa-4945-af8e-dc9c4313866d,Burt,Lonesome,burt,1980-05-14,1956-08-14,Dad,(555) 786-6113,Venice,6628 Utility Muffin St,Unit 7,Venice,IL,23341,Burt started out with strange ambitions and turned out to be the farm's unofficial cover crop visionary.,🛸,tortoise
pinms.png,Chicken Wrangler,(555) 932-8183,Tried to hypnotize the zucchini into growing faster using a lava lamp.,Pinky Ms,True,2825,test@test.com,True,431d3292-ef9f-4c7b-b79d-3a8aa63a2b76,Pinky,Ms,pinky,1984-08-26,1970-08-16,Uncle Ernie,(555) 336-4656,Peoria,3602 Waffle Iron Ave,Apt 2B,Peoria,AZ,14093,Pinky started out with strange ambitions and turned out to be the farm's unofficial chicken wrangler.,🐀,car
winman.png,Compost Technician,(555) 244-6820,Keeps replacing all the tool handles with saxophone necks.,Wino Man,True,9518,test@test.com,False,98fa3988-8393-41f7-aa74-da09833b6bdc,Wino,Man,wino,1985-11-17,1960-10-22,Uncle Ernie,(555) 891-1107,Peoria,8774 Zappa Ln,Apt 2B,Peoria,NY,42068,Wino started out with strange ambitions and turned out to be the farm's unofficial compost technician.,🎷,pencil
sheyerbouti.png,Vegetable Therapist,(555) 831-2562,Painted googly eyes on all the drip line fittings. Claims it improves morale.,Sheik Yerbouti,True,5421,test@test.com,False,39a225aa-c15e-42af-97d5-f7c44f72d074,Sheik,Yerbouti,sheik,1988-06-20,1969-06-18,Mom,(555) 727-9363,Pasadena,9787 Waffle Iron Ave,Unit 7,Pasadena,PA,32256,Sheik started out with strange ambitions and turned out to be the farm's unofficial vegetable therapist.,🎸,flame
evedog.png,Compost Technician,(555) 463-3379,Painted googly eyes on all the drip line fittings. Claims it improves morale.,Evelyn Dog,True,3312,test@test.com,False,b44ac687-7cf6-44b7-a40a-0c8ca0417b6d,Evelyn,Dog,evelyn,1985-10-24,1946-10-19,Dad,(555) 812-9862,Laurel Canyon,8223 Zappa Ln,,Laurel Canyon,IL,75554,Evelyn started out with strange ambitions and turned out to be the farm's unofficial compost technician.,🧠,flame
mondentist.png,Chicken Wrangler,(555) 210-1270,Claims the kale told them secrets during the eclipse.,Montana Dentist,True,2127,test@test.com,True,297b4e60-04c3-43b2-8d48-71a3510a7fa8,Montana,Dentist,montana,1987-06-20,1944-02-13,Bandmate,(555) 519-4680,Baltimore,8653 Zappa Ln,Apt 2B,Baltimore,IL,28582,Montana started out with strange ambitions and turned out to be the farm's unofficial chicken wrangler.,😎,person.3
larfanoga.png,Toilet Fermentation Officer,(555) 288-6423,Painted the barn plaid as a 'vibration alignment ritual'.,Larry Fanoga,True,2359,test@test.com,False,7d4a6193-57b7-497d-8e9b-5833426e52eb,Larry,Fanoga,larry,1988-01-26,1967-10-07,Dad,(555) 864-3398,Needles,6377 Yellow Snow Rd,Back House,Needles,PA,63578,Larry started out with strange ambitions and turned out to be the farm's unofficial toilet fermentation officer.,👽,drop
harswinger.png,Soil Alchemist,(555) 736-7951,Painted googly eyes on all the drip line fittings. Claims it improves morale.,Harry Swinger,True,7369,test@test.com,False,797f8cea-01e1-44b2-8ac6-b290cd3ecbcb,Harry,Swinger,harry,1986-11-09,1945-11-04,Old Roommate,(555) 909-7989,Baltimore,2108 Utility Muffin St,Unit 7,Baltimore,OH,81018,Harry started out with strange ambitions and turned out to be the farm's unofficial soil alchemist.,🧠,bolt
rhoswinger.png,Seed Librarian,(555) 860-1727,Refuses to wear anything but glitter galoshes.,Rhonda Swinger,True,2169,test@test.com,False,9b72696c-15e9-4ea7-82ca-5e1da810e3b9,Rhonda,Swinger,rhonda,1987-07-02,1951-03-17,Wife,(555) 316-3320,Cleveland,7506 Utility Muffin St,Unit 7,Cleveland,CA,37777,Rhonda started out with strange ambitions and turned out to be the farm's unofficial seed librarian.,🐀,pawprint
punmeadows.png,Cover Crop Visionary,(555) 135-5657,Mic'd the compost pile for 'sonic microbial jazz'.,Punky Meadows,True,6449,test@test.com,False,013a183a-b5a6-4a3e-9c4b-75bd5173981f,Punky,Meadows,punky,1985-09-01,1950-10-20,Bandmate,(555) 132-9488,Detroit,2592 Yellow Snow Rd,Unit 7,Detroit,IL,37086,Punky started out with strange ambitions and turned out to be the farm's unofficial cover crop visionary.,🐐,pencil
dicnixon.png,Dripline Tuner,(555) 860-1166,Keeps replacing all the tool handles with saxophone necks.,Dickie Nixon,True,6880,test@test.com,False,2ca701e1-111d-4e6a-86c1-b11d66f6ff72,Dickie,Nixon,dickie,1983-12-30,1950-03-20,Cousin Nancy,(555) 865-8696,Detroit,8002 Yellow Snow Rd,,Detroit,NY,32129,Dickie started out with strange ambitions and turned out to be the farm's unofficial dripline tuner.,🛸,drop
andenigma.png,Chicken Wrangler,(555) 896-6571,Insists the chickens perform a talent show before laying eggs.,Andy Enigma,True,6152,test@test.com,False,18678126-72ee-49f0-99cf-f32a0e09a1bb,Andy,Enigma,andy,1982-02-24,1950-12-21,Mom,(555) 235-5588,Needles,5463 Waffle Iron Ave,,Needles,NY,75705,Andy started out with strange ambitions and turned out to be the farm's unofficial chicken wrangler.,🧠,pawprint
chamouth.png,Vegetable Therapist,(555) 632-5671,Tried to hypnotize the zucchini into growing faster using a lava lamp.,Charlie Mouth,True,5460,test@test.com,True,a74ae37b-dfdb-40e5-8f9a-8471d71d9a36,Charlie,Mouth,charlie,1984-01-17,1950-07-08,Uncle Ernie,(555) 683-2126,Peoria,5921 Utility Muffin St,Apt 2B,Peoria,AZ,26677,Charlie started out with strange ambitions and turned out to be the farm's unofficial vegetable therapist.,🧠,bolt
donpardo.png,Seed Librarian,(555) 615-7340,Mic'd the compost pile for 'sonic microbial jazz'.,Don Pardo,True,2985,test@test.com,False,09afbcff-6d19-4cd3-9cb0-1fcfa44150a8,Don,Pardo,don,1990-08-24,1966-07-26,Zappa Ghost,(555) 326-6959,Laurel Canyon,4912 Yellow Snow Rd,Room 13,Laurel Canyon,AZ,60085,Don started out with strange ambitions and turned out to be the farm's unofficial seed librarian.,👽,drop
biktnb.png,Soil Alchemist,(555) 345-8477,Tried to hypnotize the zucchini into growing faster using a lava lamp.,Biker TnB,True,2181,test@test.com,False,95c21bdc-33b5-4e40-90d2-0256a459afd3,Biker,TnB,biker,1979-04-16,1969-05-20,Uncle Ernie,(555) 420-5846,Pasadena,7871 Utility Muffin St,Room 13,Pasadena,PA,68269,Biker started out with strange ambitions and turned out to be the farm's unofficial soil alchemist.,🐕,drop
